Recorrido	Fecha y hora		Controlar
23	05.02.2022 18:15	Mallorca - Cádiz	2 : 1
23	05.02.2022 20:30	Celta - Rayo Vallecano	2 : 0
23	05.02.2022 23:00	Osasuna - Sevilla	0 : 0
23	06.02.2022 16:00	Valencia - Real Sociedad	0 : 0
23	06.02.2022 18:15	Barcelona - Atlético M	4 : 2
23	06.02.2022 20:30	Betis - Villarreal	0 : 2
23	06.02.2022 23:00	real madrid - Гранада	1 : 0
23	07.02.2022 23:00	Atlético B – Espanyol	2 : 1
24	11.02.2022 23:00	Sevilla – Elche	2 : 0
24	02.12.2022 16:00	Cádiz - Celta	0 : 0
24	02.12.2022 18:15	Villarreal - Real Madrid	0 : 0
24	12.02.2022 20:30	Rayo Vallecano - Osasuna	0 : 3
24	02.12.2022 23:00	Atlético M - Getafe	4 : 3
24	13.02.2022 16:00	Alavés - Valencia	2 : 1
24	13.02.2022 18:15	Levante - Real Betis	2 : 4
24	13.02.2022 20:30	Real Sociedad - Granada	2 : 0
24	13.02.2022 23:00	Espanyol - Barcelona	2 : 2
24	14.02.2022 23:00	Mallorca – Atlético B	3 : 2
21	16.02.2022 21:00	Atlético M - Levante	0 : 1
25	18.02.2022 23:00	Elche - Rayo Vallecano	2 : 1
25	19.02.2022 16:00	Granada - Villarreal	1 : 4
25	19.02.2022 18:15	Osasuna - Atlético M	0 : 3
25	19.02.2022 20:30	Cádiz - Getafe	1 : 1
25	19.02.2022 23:00	Real Madrid - Alavés	3 : 0
25	20.02.2022 16:00	Espanyol - Sevilla	1 : 1
25	20.02.2022 18:15	Valencia – Barcelona	1 : 4
25	20.02.2022 20:30	Betis - Mallorca	2 : 1
25	20.02.2022  23:00	Atlético B – Real Sociedad	4 : 0
25	21.02.2022 23:00	Celta - Levante	1 : 1
26	25.02.2022 23:00	Levante - Elche	3 : 0
26	26.02.2022 16:00	Mallorca - Valencia	0 : 1
26	26.02.2022 18:15	Getafe - Alavés	2 : 2
26	26.02.2022 20:30	Rayo Vallecano – Real Madrid	0 : 1
26	26.02.2022 23:00	Atlético M - Celta	2 : 0
26	27.02.2022 16:00	Villarreal - Espanyol	5 : 1
26	27.02.2022 18:15	Sevilla - Бетис	2 : 1
26	27.02.2022 20:30	Real Sociedad - Osasuna	1 : 0
26	27.02.2022 23:00	Barcelona – Atlético B	4 : 0
26	28.02.2022 23:00	Granada - Cádiz	0 : 0
21	02/03/2022 23:00	Mallorca – Real Sociedad	0 : 2
27	04.03.2022 23:00	Alavés – Sevilla	0 : 0
27	05.03.2022 16:00	Osasuna - Villarreal	1 : 0
27	05/03/2022 18:15	Espanyol - Getafe	2 : 0
27	05.03.2022 20:30	Valencia - Granada	3 : 1
27	05.03.2022 23:00	Real Madrid - Real Sociedad	4 : 1
27	06.03.2022 16:00	Cádiz - Rayo Vallecano	2 : 0
27	06.03.2022 18:15	Elche – Barcelona	1 : 2
27	06.03.2022 20:30	Celta - Mallorca	4 : 3
27	06.03.2022 23:00	Betis - Atlético M	1 : 3
27	07.03.2022 23:00	Atlético B - Levante	3 : 1
28	11.03.2022  23:00	Atlético M – Cádiz	2 : 1
28	12.03.2022 16:00	Levante - Espanyol	1 : 1
28	03.12.2022 18:15	Granada - Elche	0 : 1
28	03.12.2022 20:30	Villarreal - Celta	1 : 0
28	12.03.2022 23:00	Getafe - Valencia	0 : 0
28	13.03.2022 16:00	Rayo Vallecano – Sevilla	1 : 1
28	13.03.2022 18:15	Betis - Athletic B	1 : 0
28	13.03.2022 20:30	Real Sociedad - Alavés	1 : 0
28	13.03.2022 23:00	barcelona- _ Осасуна	4 : 0
28	14.03.2022 23:00	Mallorca - Real Madrid	0 : 3
29	18.03.2022 23:00	Atlético B- Хетафе	1 : 1
29	19.03.2022 16:00	Alavés - Granada	2 : 3
29	19.03.2022 18:15	Elche - Valencia	0 : 1
29	19.03.2022 20:30	Osasuna - Levante	3 : 1
29	19.03.2022 23:00	Rayo Vallecano - Atlético M	0 : 1
29	20.03.2022 16:00	Espanyol - Mallorca	1 : 0
29	20.03.2022 18:15	Cádiz - Villarreal	1 : 0
29	20.03.2022 18:15	Celta - Betis	0 : 0
29	20.03.2022 20:30	Sevilla vs Real Sociedad	0 : 0
29	20.03.2022 23:00	Real Madrid - Barcelona	0 : 4
30	02/04/2022 15:00	Getafe - Mallorca	1 : 0
30	02/04/2022 17:15	Levante - Villarreal	2 : 0
30	02/04/2022 19:30	Celta - Real Madrid	1 : 2
30	02/04/2022 22:00	Atlético M - Alavés	4 : 1
30	03/04/2022 15:00	Atlético B - Elche	2 : 1
30	03/04/2022 17:15	Betis - Osasuna	4 : 1
30	03/04/2022 19:30	Valencia - Cádiz	0 : 0
30	03/04/2022 19:30	Granada - Rayo Vallecano	2 : 2
30	03/04/2022 22:00	Barcelona – Sevilla	1 : 0
30	04/04/2022 22:00	Real Sociedad - Espanyol	1 : 0
31	08/04/2022 22:00	Sevilla – Granada	4 : 2
31	09/04/2022 15:00	Cádiz - Betis	1 : 2
31	09/04/2022 17:15	Mallorca - Atlético M	1 : 0
31	09/04/2022 19:30	Villarreal – Atlético B	1 : 1
31	09/04/2022 22:00	Real Madrid – Хетафе	2 : 0
31	10.04.2022 15:00	Osasuna - Alavés	1 : 0
31	10.04.2022 17:15	Espanyol - Celta	1 : 0
31	10.04.2022 19:30	Elche - Real Sociedad	1 : 2
31	10.04.2022 22:00	Levante - Barcelona	2 : 3
31	11.04.2022 22:00	Rayo Vallecano – Valencia	1 : 1
32	15.04.2022 22:00	Real Sociedad - Real Betis	0 : 0
32	16.04.2022 15:00	Elche - Mallorca	3 : 0
32	16.04.2022 17:15	Alavés - Rayo Vallecano	1 : 0
32	16.04.2022 19:30	Valencia vs Osasuna	1 : 2
32	16.04.2022 22:00	Getafe - Villarreal	1 : 2
32	17.04.2022 15:00	Granada - Levante	1 : 4
32	17.04.2022  17:15	Atlético M - Espanyol	2 : 1
32	17.04.2022 19:30	Atlético B - Celta de Vigo	0 : 2
32	17.04.2022 22:00	Sevilla - Real Madrid	2 : 3
32	18.04.2022 22:00	Barcelona - Cádiz	0 : 1
33	19.04.2022 20:00	Mallorca - Alavés	2 : 1
33	19.04.2022 22:00	Betis - Elche	0 : 1
33	19.04.2022 22:30	Villarreal - Valencia	2 : 0
33	20.04.2022 20:00	Atlético M - Granada	0 : 0
33	20.04.2022 21:00	Celta - Getafe	0 : 2
33	20.04.2022 22:30	Osasuna - Real Madrid	1 : 3
33	21.04.2022 20:00	Espanyol - Rayo Vallecano	0 : 1
33	21.04.2022 20:00	Levante – Sevilla	2 : 3
33	21.04.2022 21:00	Cádiz – Atlético B	2 : 3
33	21.04.2022 22:30	Real Sociedad - Barcelona	0 : 1
21	24.04.2022 22:00	Barcelona - Rayo Vallecano	0 : 1
34	29.04.2022 22:00	Sevilla – Cádiz	1 : 1
34	30.04.2022 15:00	Alavés - Villarreal	2 : 1
34	30/04/2022 17:15	Real Madrid - Espanyol	4 : 0
34	30/04/2022 19:30	Valencia – Levante	1 : 1
34	30.04.2022 22:00	Atlético B – Atlético M	2 : 0
34	01/05/2022 15:00	Elche - Osasuna	1 : 1
34	01.05.2022 17:15	Granada - Celta	1 : 1
34	01/05/2022 19:30	Rayo Vallecano - Real Sociedad	1 : 1
34	01/05/2022 22:00	Barcelona - Mallorca	2 : 1
34	02.05.2022 22:00	Getafe - Betis	0 : 0
35	06/05/2022 22:00	Levante – Real Sociedad	2 : 1
35	07.05.2022 15:00	Mallorca - Granada	2 : 6
35	07.05.2022 17:15	Atlético B - Valencia	0 : 0
35	07/05/2022 19:30	Celta - Alavés	4 : 0
35	07/05/2022 19:30	Cádiz - Elche	3 : 0
35	07.05.2022 22:00	Betis - Barcelona	1 : 2
35	08.05.2022 15:00	Getafe - Rayo Vallecano	0 : 0
35	08.05.2022 17:15	Villarreal – Sevilla	1 : 1
35	08/05/2022 19:30	Espanyol- _ Осасуна	1 : 1
35	08.05.2022 22:00	Atlético M – Real Madrid	1 : 0
36	10.05.2022 20:00	Valencia - Betis	0 : 3
36	10.05.2022 21:00	Granada – Atlético B	1 : 0
36	10.05.2022 22:30	Barcelona - Celta	3 : 1
36	11.05.2022 20:00	Osasuna - Getafe	1 : 1
36	11.05.2022 20:00	Alavés - Espanyol	2 : 1
36	11.05.2022 21:30	Sevilla – Mallorca	0 : 0
36	11.05.2022 22:30	Elche - Atlético M	0 : 2
36	12.05.2022 20:00	Real Sociedad – Cádiz	3 : 0
36	12.05.2022 21:00	Rayo Vallecano - Villarreal	1 : 5
36	12.05.2022 22:30	Real Madrid - Levante	6 : 0
37	14.05.2022 19:30	Espanyol vs Valencia	1 : 1
37	15.05.2022 20:30	Celta - Elche	1 : 0
37	15.05.2022 20:30	Betis - Granada	2 : 0
37	15.05.2022 20:30	Atlético M - Sevilla	1 : 1
37	15.05.2022 20:30	Atlético B - Osasuna	2 : 0
37	15.05.2022 20:30	Villarreal - Real Sociedad	1 : 2
37	15.05.2022 20:30	Getafe - Barcelona	0 : 0
37	15.05.2022 20:30	Cádiz - Real Madrid	1 : 1
37	15.05.2022 20:30	Levante - Alavés	3 : 1
37	15.05.2022 20:30	Mallorca - Rayo Vallecano	2 : 1
38	20.05.2022 22:00	Rayo Vallecano - Levante	2 : 4
38	20.05.2022 22:00	Real Madrid - Real Betis	0 : 0
38	21.05.2022 18:30	Valencia - Celta	2 : 0
38	22.05.2022 18:30	Elche - Getafe	3 : 1
38	22.05.2022 21:00	Granada - Espanyol	0 : 0
38	22.05.2022 21:00	Osasuna - Mallorca	0 : 2
38	22.05.2022 21:00	Alavés - Cádiz	0 : 1
38	22.05.2022 23:00	Real Sociedad – Atlético M	1 : 2
38	22.05.2022 23:00	Sevilla - Atlético B	1 : 0
38	22.05.2022 23:00	Barcelona - Villarreal	0 : 2
